,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Saint George,40,GR,1574712640,93,39.45,22.34,53.6,3.62
1,Airai,18,TL,1574712641,93,-8.93,125.41,65.23,2.89
2,Stepnyak,29,KZ,1574712642,92,52.83,70.79,2.86,4.63
3,Karpogory,100,RU,1574712643,92,64.0,44.44,23.29,7.27
4,Chicama,75,PE,1574712644,77,-7.84,-79.15,69.8,14.99
5,Do Gonbadan,40,IR,1574712645,62,30.36,50.8,57.2,1.21
6,Port Pirie,32,AU,1574712646,54,-33.18,138.01,57.2,19.46
7,Kidal,0,ML,1574712647,12,18.44,1.41,77.5,11.99
8,Sinnamary,87,GF,1574712649,81,5.38,-52.96,82.6,12.86
9,Kodiak,1,US,1574712650,45,39.95,-94.76,57.2,12.75
10,Bambous Virieux,75,MU,1574712651,88,-20.34,57.76,78.8,11.41
11,Bethel,75,US,1574712525,85,60.79,-161.76,24.8,14.99
12,Puerto Leguizamo,22,CO,1574712653,75,-0.19,-74.78,84.04,3.91
13,Boca do Acre,63,BR,1574712654,44,-8.76,-67.39,92.61,3.6
14,Sarangani,97,PH,1574712655,75,5.4,125.46,81.48,3.4
15,Provideniya,90,RU,1574712656,86,64.42,-173.23,30.2,20.13
16,Bredasdorp,0,ZA,1574712657,72,-34.53,20.04,64.4,12.75
17,Vila Franca do Campo,75,PT,1574712658,72,37.72,-25.43,66.2,20.8
18,Cayenne,72,GF,1574712659,83,4.94,-52.33,80.6,12.75
19,Clyde River,90,CA,1574712660,92,70.47,-68.59,15.8,8.05
20,Cape Town,0,ZA,1574712429,77,-33.93,18.42,66.99,12.75
21,Tiksi,17,RU,1574712662,90,71.64,128.87,-30.46,8.57
22,Kollo,0,NE,1574712664,13,13.34,2.32,91.4,4.7
23,Puerto Ayora,20,EC,1574712665,48,-0.74,-90.35,86.0,17.22
24,Partinico,20,IT,1574712666,93,38.04,13.12,59.0,6.93
25,Hithadhoo,81,MV,1574712668,80,-0.6,73.08,83.01,15.68
26,Chuy,100,UY,1574712669,69,-33.69,-53.46,67.82,14.47
27,Shuangcheng,2,CN,1574712670,66,45.37,126.3,19.99,11.18
28,Buraydah,0,SA,1574712671,88,26.33,43.97,64.4,5.82
29,Mahebourg,75,MU,1574712672,88,-20.41,57.7,78.8,11.41
30,Hilo,90,US,1574712673,83,19.71,-155.08,79.0,7.94
31,Komsomolskiy,100,RU,1574712674,93,67.55,63.78,12.04,16.02
32,Hobart,75,AU,1574712431,93,-42.88,147.33,53.01,8.05
33,Mataura,45,NZ,1574712676,62,-46.19,168.86,64.0,8.01
34,Guaruja,75,BR,1574712677,64,-23.99,-46.26,73.4,8.05
35,Punta Arenas,90,CL,1574712678,87,-53.16,-70.91,46.4,13.87
36,Saskylakh,94,RU,1574712680,96,71.97,114.09,-14.98,10.02
37,Yarkovo,40,RU,1574712681,84,54.81,82.6,5.0,4.47
38,Diffa,39,NE,1574712682,20,13.32,12.61,78.8,4.85
39,Lyndon,1,US,1574712683,44,38.61,-95.68,60.8,11.41
40,Ushuaia,75,AR,1574712684,58,-54.81,-68.31,55.4,11.41
41,Evensk,100,RU,1574712685,86,61.92,159.24,-6.0,15.52
42,Ewa Beach,75,US,1574712555,65,21.32,-158.01,84.0,13.87
43,Broome,90,GB,1574712687,87,52.47,1.45,51.8,10.29
